EpisodeID,Result,Duration,AssistedHits,NonAssistedHits,AvgAccuracy,Score
1,PlayerGoal,1.509998,0,0,0,-7.549989
2,PlayerGoal,1.539998,0,0,0,-7.699988
3,PlayerGoal,1.509998,0,0,0,-7.549992
4,PlayerGoal,1.484998,0,0,0,-7.424989
5,PlayerGoal,1.619997,0,0,0,-8.099985
6,PlayerGoal,1.569998,0,0,0,-7.849989
7,PlayerGoal,1.514998,0,0,0,-7.574992
8,PlayerGoal,1.584997,0,0,0,-7.924986
9,PlayerGoal,1.554998,2,0,0.2810331,0.3283149
10,PlayerGoal,12.55998,1,0,0.3844734,-34.35257
11,PlayerGoal,2.984997,0,0,0,-14.92498
12,PlayerGoal,1.589996,0,0,0,-7.949982
13,OpponentGoal,9.409988,3,0,0.7266743,995.6175
14,OpponentGoal,3.789993,1,0,0.9494028,1065.99
15,PlayerGoal,1.679996,0,0,0,-8.399982
16,PlayerGoal,3.754997,0,0,0,-18.77499
17,OpponentGoal,3.579994,2,0,0.5236247,1014.463
18,OpponentGoal,7.73999,3,0,0.4761732,978.9174
19,OpponentGoal,2.794991,1,0,0.4442575,1020.451
20,Quit,7.08474,1,0,0.9791034,52.48664
1,OpponentGoal,2.344996,2,0,0.9408554,1062.361
2,OpponentGoal,8.359989,6,0,0.5700001,955.2001
3,OpponentGoal,5.479991,0,0,0,972.6
4,OpponentGoal,5.359993,3,0,0.5219913,995.3992
5,PlayerGoal,10.26498,1,0,0.8162985,20.30493
6,PlayerGoal,1.52,0,0,0,-7.600002
7,OpponentGoal,7.299988,4,0,0.3662136,960.1214
8,PlayerGoal,6.384991,1,0,0.3262519,-9.299767
9,PlayerGoal,8.45499,1,0,0.9950678,47.23183
10,OpponentGoal,4.824993,2,0,0.5090173,1006.777
11,OpponentGoal,5.544991,3,0,0.4438985,986.6649
12,PlayerGoal,6.999992,4,0,0.7923728,4.23732
13,OpponentGoal,2.504997,1,0,0.9299637,1070.471
14,OpponentGoal,2.324997,1,0,0.4321419,1021.589
15,OpponentGoal,4.374992,2,0,0.4247682,1000.602
16,OpponentGoal,15.29998,8,0,0.8761036,931.1105
17,OpponentGoal,8.954987,8,0,0.6708442,942.3095
18,PlayerGoal,1.499992,0,0,0,-7.499962
19,PlayerGoal,2.18,0,0,0,-10.9
20,OpponentGoal,2.579994,1,0,0.9331906,1070.419
21,OpponentGoal,9.149986,3,0,0.5864122,982.8913
22,PlayerGoal,1.5,0,0,0,-7.5
23,PlayerGoal,1.899994,1,0,0.137551,-5.744868
24,PlayerGoal,1.565002,0,0,0,-7.825012
25,PlayerGoal,2.514999,1,0,0.8789018,65.31518
26,OpponentGoal,12.62498,4,0,0.3787408,934.7491
27,OpponentGoal,5.584991,2,0,0.9271202,1044.787
28,OpponentGoal,2.419998,1,0,0.8541309,1063.313
29,OpponentGoal,12.10997,5,0,0.6635086,955.801
30,PlayerGoal,1.574997,0,0,0,-7.874985
31,OpponentGoal,5.964996,1,0,0.9426712,1054.442
32,OpponentGoal,3.809998,1,0,0.3196385,1002.914
33,PlayerGoal,5.509995,1,0,0.121183,-25.43167
34,PlayerGoal,25.45496,9,0,0.6153505,-155.7397
35,PlayerGoal,6.849991,2,0,0.4211717,-12.13279
36,OpponentGoal,24.98497,4,0,0.3614602,871.2212
37,OpponentGoal,7.019989,4,0,0.4746167,972.3617
38,OpponentGoal,16.71999,6,0,0.7000706,926.4071
39,OpponentGoal,11.11496,2,0,0.7281321,997.2384
40,OpponentGoal,5.834991,3,0,0.4641247,987.2375
41,OpponentGoal,9.410004,4,0,0.6324781,976.1978
42,Quit,3.466949,1,0,0.9606964,68.73489
