EpisodeID,Timestamp,WasAssisted,Accuracy,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW,WorldVelX,WorldVelY,WorldVelZ,WorldAngVelX,WorldAngVelY,WorldAngVelZ
9,18.21997,1,0.3378752,-0.8894897,6.200146,-3.67282,-0.03259292,-0.3204789,0.4769497,0.8177713,-1.189669,-0.3034326,-0.1744342,2.039276,2.018377,-0.3295375
9,18.23497,1,0.224191,-1.063122,6.173298,-3.695915,-0.03500277,-0.3334732,0.4704192,0.8162574,-1.292151,-0.3032268,-0.158349,1.868948,1.841844,-0.02541396
10,19.80497,1,0.3844734,0.4825054,6.246719,-3.98931,0.1615953,0.0002309531,0.3876089,0.9075496,1.0247,0.008675821,-0.005219888,-2.211456,-1.418684,0.3488418
13,37.05995,1,0.3590072,0.03233579,6.259151,-4.358971,0.1935456,0.08975379,0.2796692,0.9360926,1.221411,-0.01362277,-0.2450616,-2.476605,-1.960452,0.3415379
13,39.13494,1,0.9386662,-1.304094,6.235951,-2.952886,0.1455546,-0.1036545,0.2999852,0.9370584,0.4677428,0.1855742,1.243838,-0.865031,-2.143056,0.7095438
13,44.56494,1,0.8823493,0.3697237,6.372915,-2.200276,0.2102143,0.106617,0.2770778,0.9314884,0.7767049,0.07636806,1.883911,0.2255272,-3.221618,-1.817455
14,47.98493,1,0.9494028,-1.277324,6.198637,-4.203148,0.1972543,-0.1828147,0.2051913,0.9410452,0.06332442,-0.09483967,1.512289,0.4545604,-4.747972,0.6102008
17,55.54992,1,0.3132666,0.9523305,6.049662,-4.641006,0.3279465,0.1733656,0.1360193,0.9186371,1.059955,-0.1670377,-0.07428442,-0.9099453,-3.259368,-0.2136634
17,57.21992,1,0.7339827,-1.06906,6.499193,-1.950675,0.1769409,-0.057279,0.1378951,0.9728289,-0.4340224,0.09294695,2.485585,1.826805,-6.051363,0.521879
18,59.20492,1,0.3183505,-0.9664482,6.104101,-4.775891,0.2913645,-0.1581814,0.1416001,0.9327565,-1.00604,-0.1021467,-0.2899554,0.1771484,2.786818,-1.029638
18,60.21991,1,0.6910055,-1.607319,6.251446,-3.480859,0.262426,-0.2790532,0.1136903,0.9166986,-1.321623,-0.0603576,1.707646,1.02183,-1.272042,1.409262
