EpisodeID,Result,Duration,AssistedHits,NonAssistedHits,AvgAccuracy,Score
1,PlayerGoal,1.484998,0,0,0,-7.424989
2,PlayerGoal,1.514998,0,0,0,-7.57499
3,OpponentGoal,2.324997,1,0,0.9753906,1075.914
4,PlayerGoal,8.759988,3,0,0.8072612,6.926184
5,OpponentGoal,4.149994,1,0,0.9062356,1059.874
6,PlayerGoal,1.564997,0,0,0,-7.824984
7,OpponentGoal,2.784996,1,0,0.2780635,1003.881
8,OpponentGoal,2.074997,1,0,0.3200691,1011.632
9,OpponentGoal,14.14998,6,0,0.7171429,940.9644
10,PlayerGoal,1.639996,0,0,0,-8.199978
11,PlayerGoal,13.49998,4,0,0.5630533,-51.19457
12,OpponentGoal,2.519997,1,0,0.3955704,1016.957
13,OpponentGoal,2.519997,1,0,0.2813062,1005.531
14,OpponentGoal,6.994991,7,0,0.8310692,978.132
15,OpponentGoal,10.19498,6,0,0.8325744,972.2825
16,PlayerGoal,1.629997,0,0,0,-8.149986
17,OpponentGoal,4.999992,2,0,0.8418787,1039.188
18,OpponentGoal,2.5,1,0,0.9199085,1069.491
19,OpponentGoal,3.789993,2,0,0.5748719,1018.537
20,PlayerGoal,1.654999,0,0,0,-8.274994
21,OpponentGoal,7.574989,3,0,0.7963673,1011.762
22,OpponentGoal,2.784996,1,0,0.999553,1076.03
23,OpponentGoal,5.86499,4,0,0.8922036,1019.895
24,OpponentGoal,9.974983,3,0,0.5604792,976.173
25,OpponentGoal,2.290001,1,0,0.9999593,1078.546
26,OpponentGoal,2.269997,1,0,0.9846454,1077.115
27,OpponentGoal,10.20498,6,0,0.8251712,971.4922
28,PlayerGoal,1.699997,0,0,0,-8.499985
29,OpponentGoal,7.50499,3,0,0.9280829,1025.283
30,OpponentGoal,8.554993,2,0,0.9205551,1029.281
31,OpponentGoal,2.269989,1,0,0.9339757,1072.048
32,OpponentGoal,4.354996,2,0,0.5516094,1013.386
33,OpponentGoal,2.210007,1,0,0.9874564,1077.696
34,OpponentGoal,7.574982,3,0,0.7810307,1010.228
35,OpponentGoal,3.395004,1,0,0.8344121,1056.466
36,PlayerGoal,1.724991,0,0,0,-8.624954
37,OpponentGoal,6.699997,2,0,0.7365233,1020.152
38,OpponentGoal,2.634995,1,0,0.965432,1073.368
39,OpponentGoal,2.36499,1,0,0.9506454,1073.24
40,OpponentGoal,21.23497,6,0,0.6980335,903.6285
41,OpponentGoal,7.784988,2,0,0.5435489,995.4299
42,OpponentGoal,4.735001,2,0,0.853564,1041.681
43,PlayerGoal,1.604996,0,0,0,-8.024979
44,OpponentGoal,2.644989,1,0,0.798269,1056.602
45,OpponentGoal,2.529999,1,0,0.9799773,1075.348
46,Quit,2.359512,0,0,0,-11.79756
